Field=#~Integer~#~50|Field=Comment~String~Comment~101|Field=Description~String~Description~101|Field=Designator~String~Designator~101|Field=Footprint~String~Footprint~101|Field=LibRef~String~LibRef~101|Field=Quantity~Integer~Quantity~101|Field=Pricing 1~String~Pricing 1~101|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~BMS.PrjPcb|ReportField=ProjectFullPath~C:\Users\Jarod\Desktop\Phantom\BMS\BMS.PrjPcb|ReportField=Title~Bill of Materials For Project [BMS.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~220|ReportField=ReportTime~5:45:17 PM|ReportField=ReportDate~2018-11-10|ReportField=ReportDateTime~2018-11-10 5:45:17 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018-11-09|ReportField=CurrentTime~2:47:39 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Jarod\Desktop\Phantom\BMS\BMS.SchDoc|ReportField=DocumentName~BMS.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Jarod Krane|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018-10-29|ReportField=Organization~|ReportField=ProjectName~BMS.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~BMS - AFE|ReportField=DataSourceFileName~BMS.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Jarod\Desktop\Phantom\BMS\BMS.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
21|1K|RES SMD 1K OHM 1% 1/10W 0603|R1_1, R1_2, R1_3, R1_4, R1_5, R1_6, R1_7, R1_8, R1_9, R1_10, R1_11, R1_12, R1_13, R1_14, R1_15, R1_16, R2_1, R2_2, R2_3, R2_4, R2_5, R2_6, R2_7, R2_8, R2_9, R2_10, R2_11, R2_12, R2_13, R2_14, R2_15, R2_16, R9|0603 RES|CRCW06031K00FKEA|33|1=0.1, 10=0.042, 100=0.017, 1000=0.0076, 2500=0.0066 (USD)
22|75R|RES 75 OHM 1% 1W 2512|R3_1, R3_2, R3_3, R3_4, R3_5, R3_6, R3_7, R3_8, R3_9, R3_10, R3_11, R3_12, R3_13, R3_14, R3_15, R3_16|2512 RES|RMCF2512FT75R0|16|1=0.39, 10=0.333, 100=0.1301, 1000=0.0545 (USD)
23|2K|RES SMD 2K OHM 1% 1/10W 0603|R4_1, R4_2, R4_3, R4_4, R4_5, R4_6, R4_7, R4_8, R4_9, R4_10, R4_11, R4_12, R4_13, R4_14, R4_15, R4_16|0603 RES|CRCW06032K00FKEA|16|1=0.1, 10=0.042, 100=0.017, 1000=0.0076, 2500=0.0066 (USD)
24|100K|RES SMD 100K OHM 1% 1/10W 0603|R5_1, R5_2, R5_3, R5_4, R5_5, R5_6, R5_7, R5_8, R5_9, R5_10, R5_11, R5_12, R5_13, R5_14, R5_15, R5_16, R11, R30|0603 RES|ERJ-3EKF1003V|18|1=0.1, 10=0.064, 100=0.0261, 1000=0.0117, 2500=0.0102 (USD)
25|100R|RES SMD 100 OHM 1% 1/4W 1206|R6|1206 RES|ERJ-8ENF1000V|1|1=0.11, 10=0.1, 100=0.0385, 1000=0.017, 2500=0.0146 (USD)
26|200R|RES SMD 200 OHM 5% 1W 2512|R7, R8|2512 RES|CRCW2512200RJNEG|2|1=0.39, 10=0.333, 100=0.1301, 1000=0.0545 (USD)
27|0R||R10|0402 RES|0|1|
28|10R|RES SMD 10 OHM 1% 1/4W 1206|R12, R13, R14, R15, R16, R17, R18, R19|1206 RES|ERJ-8ENF10R0V|8|1=0.11, 10=0.1, 100=0.0385, 1000=0.017, 2500=0.0146 (USD)
29|1R|RES SMD 1 OHM 1% 1/10W 0603|R20, R21|0603 RES|CRL0603-FW-1R00ELF|2|1=0.13, 10=0.116, 100=0.0448, 1000=0.0197, 2500=0.017 (USD)
30|10K|RES SMD 10K OHM 1% 1/10W 0603|R22, R23, R24, R25, R26, R27, R28, R29|0603 RES|ERJ-3EKF1002V|8|1=0.1, 10=0.064, 100=0.0261, 1000=0.0117, 2500=0.0102 (USD)
31|470u|CMC 470UH 400MA 2LN 2.2 KOHM SMD|T1, T3, T5, T7|CHOKE NODE 470u|744242471|4|1=3.37, 10=3.125, 50=2.822, 100=2.722, 250=2.52 (USD)
32|100u|CMC 100UH 150MA 2LN SMD AEC-Q200|T2, T4, T6, T8|CHOKE NODE 100u|B82787C0104H002|4|1=1.62, 10=1.506, 100=1.0891, 500=0.8342, 1000=0.7415 (USD)
33|BQ76PL455ATPFCRQ1|IC BATT MONITOR/PROTECT 80TQFP|U1|BQ76PL455A-Q1|BQ76PL455ATPFCRQ1|1|1=19.03, 10=17.486, 100=14.7676, 500=13.1368 (USD)
